,datetime,source,MW
876,2016-11-07 19:57:42,Both,0.1
877,2016-11-07 21:31:54,Both,-0.12
878,2016-11-07 21:55:40,Both,-0.34
879,2016-11-07 21:57:27,Both,-0.11
880,2016-11-07 23:17:46,Both,0.12
881,2016-11-07 23:56:25,Both,-0.29
882,2016-11-07 23:58:03,Both,-0.16
883,2016-11-08 00:13:32,Both,0.22
884,2016-11-08 00:21:56,Both,0.38
885,2016-11-08 01:10:56,Both,-0.11
886,2016-11-08 01:11:29,Both,-0.15
887,2016-11-08 02:01:38,Both,0.0
888,2016-11-08 03:00:30,Both,-0.07
889,2016-11-08 03:05:32,Both,0.19
890,2016-11-08 03:41:04,Both,-0.11
891,2016-11-08 04:24:36,Both,1.44
892,2016-11-08 05:30:23,Both,0.03
893,2016-11-08 05:40:56,Both,-0.02
894,2016-11-08 05:44:36,Both,0.51
895,2016-11-08 06:26:43,Both,0.25
896,2016-11-08 08:53:57,Both,1.23
897,2016-11-08 11:41:06,Both,0.22
898,2016-11-08 12:12:30,Both,0.1
899,2016-11-08 13:16:57,Both,1.27
900,2016-11-08 17:04:02,Both,0.15
901,2016-11-08 17:26:57,Both,0.6
902,2016-11-08 19:57:04,Both,-0.1
903,2016-11-08 21:33:27,Both,0.72
